Titre,Prix,Ville,CT match,URL
Megane / scenic,2200.0 €,Aubervilliers,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155359243
Twingo 1 cherche echange avec kango 1.6 16v,1500.0 €,Couëron,Ct,https://www.leboncoin.fr/ad/voitures/3155358217
Ford Fiesta IV,2300.0 €,La Ferté-Gaucher,contrôle technique à jour,https://www.leboncoin.fr/ad/voitures/3155357979
Peugeot 206+,3000.0 €,Jonage,Contrôle Technique,https://www.leboncoin.fr/ad/voitures/3155357738
Mitsubishi space star,2900.0 €,Montbazens,Contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3155357455
Polo ct ok,2000.0 €,Sarreguemines,ct ok,https://www.leboncoin.fr/ad/voitures/3155356142
Peugeot 206+ 1.4 Hdi eco70 68 cv,2900.0 €,Arles,Contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155355365
Honda accord ch6,1600.0 €,Lourches,CT ok,https://www.leboncoin.fr/ad/voitures/3155354585
Twingo 2 phase 1,1990.0 €,Marseille,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155352938
Twingo Privilège 2002,2000.0 €,Biscarrosse,CT OK,https://www.leboncoin.fr/ad/voitures/3155352987
Ds3,2000.0 €,La Roche-sur-Yon,Contrôle technique valide,https://www.leboncoin.fr/ad/voitures/3155338853
C3 Pluriel HDI,1600.0 €,Mouvaux,ct ok,https://www.leboncoin.fr/ad/voitures/3155352102
Peugeot 407 2.2i,2600.0 €,Mesnils-sur-Iton,contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155350928
Vend Ford focus ghia,1600.0 €,Saint-Fargeau-Ponthierry,contrôle technique,https://www.leboncoin.fr/ad/voitures/3155348702
Daihatsu Sirion,2800.0 €,Sillingy,contrôle technique,https://www.leboncoin.fr/ad/voitures/3155348111
"Citroën berlingo 1,4 Clim ct ok édition bivouac",2700.0 €,Marignane,ct ok,https://www.leboncoin.fr/ad/voitures/3155347709
Chevrolet spark,2800.0 €,Aulnay-sous-Bois,Contrôle technique à jour,https://www.leboncoin.fr/ad/voitures/3155342807
Opel corsa,2600.0 €,Aubagne,contrôle technique,https://www.leboncoin.fr/ad/voitures/3155342667
Micra 1.2 nissan,2990.0 €,Privas,CT OK,https://www.leboncoin.fr/ad/voitures/3155341164
Citroën C5,1900.0 €,Hénin-Beaumont,contrôle technique fait,https://www.leboncoin.fr/ad/voitures/3155339316
Peugeot 206 1.4 Essence,2599.0 €,Montpellier,"Contrôle technique

    ",https://www.leboncoin.fr/ad/voitures/3155338946
206 2.0hdi 90,2800.0 €,Issoire,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155335916
Mégane 2 ct ok,2600.0 €,Ally,ct ok,https://www.leboncoin.fr/ad/voitures/3155335875
Peugeot 107,1700.0 €,Épron,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155335829
Suzuki wagon r,2400.0 €,Fontenay-sous-Bois,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155335375
Megane 1 coupé 1.6 16v,3000.0 €,Caen,CT-6mois,https://www.leboncoin.fr/ad/voitures/3155334352
Renault Twingo 1 1.2i 60 ch,2500.0 €,Nancy,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155332855
Ford Ka - 2010,2500.0 €,Belfort,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155332279
Citroën c2 phase 2 exclusive 1.4 hdi 70 cv ct ok,3000.0 €,Villeneuve-sur-Lot,ct ok,https://www.leboncoin.fr/ad/voitures/3155331937
Peugeot 206,3000.0 €,Bordeaux,Contrôle technique fait,https://www.leboncoin.fr/ad/voitures/3154235085
Peugeot 206+ 1.1 essence 60ch,2800.0 €,Douai,CT ok,https://www.leboncoin.fr/ad/voitures/3155330409
Peugeot 207 1.6hdi à débattre,2100.0 €,Nice,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155330130
Peugeot 206,2250.0 €,Bondues,Contrôle Technique Ok,https://www.leboncoin.fr/ad/voitures/3155329623
Renault Twingo 2 Rip Curl,2900.0 €,Chambray-lès-Tours,Contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155329541
"Ds3 1,6 156",3000.0 €,Les Champs-Géraux,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155327846
Alfa Romeo 147,2300.0 €,Chaumont,Ct ok,https://www.leboncoin.fr/ad/voitures/3155327749
Peugeot 206sw,2050.0 €,Bobigny,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155325539
206 cc,1900.0 €,Bosroumois,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155324908
Clio campus annee 2007,2900.0 €,Gouy-sous-Bellonne,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155324338
Peugeot 306,3000.0 €,Troyes,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155322093
Vends Citroën C5 HdI,3000.0 €,Cisternes-la-Forêt,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155320340
CLIO 2 1.2i 60 cv,1990.0 €,Melun,contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155321502
207 1.6 hdi 90 ct ok,2950.0 €,Villefranche-de-Lauragais,ct ok,https://www.leboncoin.fr/ad/voitures/3155320035
Fiat panda,2000.0 €,Hyères,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155319727
Peugeot 308 sw,2800.0 €,Gerstheim,CT OK,https://www.leboncoin.fr/ad/voitures/3155319722
"Peugeot 207 1,6 90 noire",2900.0 €,Cavalaire-sur-Mer,CT,https://www.leboncoin.fr/ad/voitures/3155319538
Opel corsa 1,2100.0 €,Saint-Denis-de-Pile,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155318600
206 1.1 essence carte grise inclus,2600.0 €,Pluneret,Contrôle technique ok,https://www.leboncoin.fr/ad/voitures/3155318201
Twingo II,3000.0 €,Saint-Pierre-du-Perray,contrôle technique fait,https://www.leboncoin.fr/ad/voitures/3155318065
CITROEN C1 5 portes 2006,2350.0 €,Tanneron,CT,https://www.leboncoin.fr/ad/voitures/3155317890
Seat Ibiza 195 000km,1400.0 €,Borce,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155317775
Véhicule Peugeot à vendre,2950.0 €,Mourenx,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155308715
306 2L HDI sans CT,1500.0 €,Beauvais,CT,https://www.leboncoin.fr/ad/voitures/3155314473
FIAT PUNTO 1.4i – 95 CH – 2006 – 3 PORTES,1899.0 €,Rosny-sous-Bois,CT moins de 6mois,https://www.leboncoin.fr/ad/voitures/3155312640
206,2600.0 €,Saint-Pierre-des-Corps,Contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3155311700
Nissan PIXO de 2009 - 85304 km,2600.0 €,Dijon,contrôle technique,https://www.leboncoin.fr/ad/voitures/3155310590
Seat Mii 1.OL MPI 75,2800.0 €,Tourcoing,CT,https://www.leboncoin.fr/ad/voitures/3155309971
Dacia sandero,1990.0 €,Grans,Ct,https://www.leboncoin.fr/ad/voitures/3155309207
Renault Twingo 2,2490.0 €,Saint-Hippolyte,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155305812
Volkswagen New Beetle 2001,2500.0 €,Saint-Tugdual,contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155304655
Peugeot 206 1.4l XT Premium,2300.0 €,Hérimoncourt,CT OK,https://www.leboncoin.fr/ad/voitures/3155303508
Renault scenic 1.9 dci 120,2700.0 €,Balbigny,Contrôle technique ,https://www.leboncoin.fr/ad/voitures/3155303054
C4,2500.0 €,Besançon,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155300146
Ford mondeo,2700.0 €,Pons,ct OK,https://www.leboncoin.fr/ad/voitures/3155300252
Clio 2 community ess,2100.0 €,Drocourt,Ct - 6 mois,https://www.leboncoin.fr/ad/voitures/3155299886
Peugeot 107 climatisation,2990.0 €,Montpellier,Contrôle technique fait,https://www.leboncoin.fr/ad/voitures/3155299674
Citroën C4 1.6i,2500.0 €,Pont-Salomon,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3155299358
C4 1.6 hdi de 2006 198400km deuxième main bonne état propre,2190.0 €,Tarascon,contrôle technique OK,https://www.leboncoin.fr/ad/voitures/3148729949
Twingo 1 Phase 2,2390.0 €,Neuville-de-Poitou,Contrôle technique,https://www.leboncoin.fr/ad/voitures/3130416776
